#hg38.omimPhenotype.omimId	hg38.omimPhenotype.phenotypeId	hg38.omim2gene.geneId	hg38.omim2gene.approvedGeneSymbol	hg38.omimGeneMap2.phenotypes
612367	612367	100196914		{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)
606788	606788	171514		{Anorexia nervosa, susceptibility to, 1}, 606788 (2)
605462	605462	100307118		{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)
606928	606928	246259		[Bone mineral density QTL 3], 606928 (2)
618815	618815	0		Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant
155600	155600	1243		{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
115665	115665	7792		Cataract 8, multiple types, 115665 (2), Autosomal dominant
607872	607872	0		Chromosome 1p36 deletion syndrome, distal, 607872 (4), Isolated cases
619343	619343	0		Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant
608995	608995	406874		{Dyslexia, susceptibility to, 8}, 608995 (2), Multifactorial, Autosomal dominant
605225	605225	57042		{Inflammatory bowel disease 7}, 605225 (2)
612596	612596	100271696		{Multiple sclerosis, susceptibility to, 4}, 612596 (2)
610320	610320	100359407		Myopia 14, 610320 (2), Autosomal dominant
605606	605606	0		{Psoriasis susceptibility 7}, 605606 (2)
147571	616126	9636	ISG15	Immunodeficiency 38, 616126 (3), Autosomal recessive
103320	615120	375790	AGRN	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
600315	615593	7293	TNFRSF4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
615291	615349	126792	B3GALT6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive
615291	271640	126792	B3GALT6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive
615291	609465	126792	B3GALT6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive
611354	620428	54973	INTS11	Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities, 620428 (3), Autosomal recessive
601365	616331	1855	DVL1	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
611901	619216	64856	VWA1	Neuronopathy, distal hereditary motor, autosomal recessive 7, 619216 (3), Autosomal recessive
612316	617183	55210	ATAD3A	Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive
612316	618810	55210	ATAD3A	Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive
616101	607454	339453	TMEM240	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
139380	614286	2782	GNB1	Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant
139380	613065	2782	GNB1	Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant
139380	616973	2782	GNB1	Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant
620187	620197	85452	CFAP74	Ciliary dyskinesia, primary, 49, without situs inversus, 620197 (3), Autosomal recessive
137163	613060	2563	GABRD	{?Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant
164780	182212	6497	SKI	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
607671	607671	93983		Dystonia 13, torsion, 607671 (2), Autosomal dominant
606242	606242	100653373		Kondoh syndrome, 606242 (2), Autosomal recessive
602859	614870	5192	PEX10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
602859	614871	5192	PEX10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
606162	619593	55229	PANK4	?Cataract 49, 619593 (3), Autosomal dominant
